1485992610.85 {'AI5': 2.412109375, 'AI4': 0.0146484375, 'AI0': 2.6806640625, 'AI2': 2.6708984375} 
1485992610.89 {'AI5': 2.412109375, 'AI4': 0.009765625, 'AI0': 2.6708984375, 'AI2': 2.6708984375} 
1485992610.94 {'AI5': 2.412109375, 'AI4': 0.0146484375, 'AI0': 2.67578125, 'AI2': 2.6708984375} 
1485992610.99 {'AI5': 2.412109375, 'AI4': 0.0146484375, 'AI0': 2.67578125, 'AI2': 2.6708984375} 
1485992611.04 {'AI5': 2.412109375, 'AI4': 0.0146484375, 'AI0': 2.6708984375, 'AI2': 2.666015625} 
1485992611.09 {'AI5': 2.412109375, 'AI4': 0.009765625, 'AI0': 2.67578125, 'AI2': 2.67578125} 
1485992611.13 {'AI5': 2.412109375, 'AI4': 0.009765625, 'AI0': 2.67578125, 'AI2': 2.67578125} 
1485992611.18 {'AI5': 2.412109375, 'AI4': 0.009765625, 'AI0': 2.67578125, 'AI2': 2.67578125} 
1485992611.23 {'AI5': 2.412109375, 'AI4': 0.0146484375, 'AI0': 2.67578125, 'AI2': 2.67578125} 
1485992611.28 {'AI5': 2.412109375, 'AI4': 0.01953125, 'AI0': 2.67578125, 'AI2': 2.6708984375} 
1485992611.33 {'AI5': 2.412109375, 'AI4': 0.0146484375, 'AI0': 2.67578125, 'AI2': 2.6708984375} 
1485992611.37 {'AI5': 2.4072265625, 'AI4': 0.009765625, 'AI0': 2.67578125, 'AI2': 2.67578125} 
1485992611.42 {'AI5': 2.412109375, 'AI4': 0.009765625, 'AI0': 2.6708984375, 'AI2': 2.6708984375} 
1485992611.47 {'AI5': 2.412109375, 'AI4': 0.0146484375, 'AI0': 2.67578125, 'AI2': 2.6806640625} 
1485992611.52 {'AI5': 2.412109375, 'AI4': 0.009765625, 'AI0': 2.67578125, 'AI2': 2.6708984375} 
1485992611.57 {'AI5': 2.4169921875, 'AI4': 0.009765625, 'AI0': 2.6708984375, 'AI2': 2.67578125} 
1485992611.61 {'AI5': 2.412109375, 'AI4': 0.0146484375, 'AI0': 2.67578125, 'AI2': 2.6708984375} 
1485992611.66 {'AI5': 2.412109375, 'AI4': 0.0146484375, 'AI0': 2.67578125, 'AI2': 2.6708984375} 
1485992611.71 {'AI5': 2.4169921875, 'AI4': 0.009765625, 'AI0': 2.6708984375, 'AI2': 2.6806640625} 
1485992611.76 {'AI5': 2.412109375, 'AI4': 0.0146484375, 'AI0': 2.6708984375, 'AI2': 2.65625} 
1485992611.81 {'AI5': 2.412109375, 'AI4': 0.0244140625, 'AI0': 2.6708984375, 'AI2': 2.67578125} 
1485992611.85 {'AI5': 2.412109375, 'AI4': 0.009765625, 'AI0': 2.6708984375, 'AI2': 2.6708984375} 
1485992611.9 {'AI5': 2.412109375, 'AI4': 0.009765625, 'AI0': 2.67578125, 'AI2': 2.67578125} 
1485992611.95 {'AI5': 2.412109375, 'AI4': 0.009765625, 'AI0': 2.6708984375, 'AI2': 2.6708984375} 
1485992612.0 {'AI5': 2.412109375, 'AI4': 0.0146484375, 'AI0': 2.67578125, 'AI2': 2.666015625} 
1485992612.05 {'AI5': 2.412109375, 'AI4': 0.009765625, 'AI0': 2.6708984375, 'AI2': 2.6708984375} 
1485992612.09 {'AI5': 2.4169921875, 'AI4': 0.009765625, 'AI0': 2.67578125, 'AI2': 2.67578125} 
1485992612.14 {'AI5': 2.412109375, 'AI4': 0.0146484375, 'AI0': 2.6708984375, 'AI2': 2.6708984375} 
1485992612.19 {'AI5': 2.4072265625, 'AI4': 0.009765625, 'AI0': 2.67578125, 'AI2': 2.67578125} 
1485992612.24 {'AI5': 2.4072265625, 'AI4': 0.009765625, 'AI0': 2.6708984375, 'AI2': 2.6708984375} 
1485992612.29 {'AI5': 2.412109375, 'AI4': 0.009765625, 'AI0': 2.6806640625, 'AI2': 2.67578125} 
1485992612.33 {'AI5': 2.412109375, 'AI4': 0.0048828125, 'AI0': 2.6708984375, 'AI2': 2.67578125} 
1485992612.38 {'AI5': 2.4169921875, 'AI4': 0.009765625, 'AI0': 2.67578125, 'AI2': 2.67578125} 
1485992612.43 {'AI5': 2.412109375, 'AI4': 0.009765625, 'AI0': 2.6708984375, 'AI2': 2.6708984375} 
1485992612.48 {'AI5': 2.412109375, 'AI4': 0.0146484375, 'AI0': 2.6708984375, 'AI2': 2.666015625} 
1485992612.53 {'AI5': 2.412109375, 'AI4': 0.0146484375, 'AI0': 2.6708984375, 'AI2': 2.67578125} 
1485992612.57 {'AI5': 2.412109375, 'AI4': 0.009765625, 'AI0': 2.67578125, 'AI2': 2.6708984375} 
1485992612.62 {'AI5': 2.412109375, 'AI4': 0.009765625, 'AI0': 2.67578125, 'AI2': 2.6708984375} 
1485992612.67 {'AI5': 2.412109375, 'AI4': 0.0146484375, 'AI0': 2.6708984375, 'AI2': 2.67578125} 
1485992612.72 {'AI5': 2.412109375, 'AI4': 0.009765625, 'AI0': 2.67578125, 'AI2': 2.67578125} 
1485992612.77 {'AI5': 2.412109375, 'AI4': 0.009765625, 'AI0': 2.67578125, 'AI2': 2.6611328125} 
