1485999605.291231 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2587890625, 'AI2': 0.2783203125} 
1485999605.339218 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2978515625, 'AI2': 0.2880859375} 
1485999605.387308 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.322265625, 'AI2': 0.3125} 
1485999605.435195 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3076171875, 'AI2': 0.3076171875} 
1485999605.483244 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2978515625, 'AI2': 0.2880859375} 
1485999605.531784 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3076171875, 'AI2': 0.3173828125} 
1485999605.579305 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.29296875, 'AI2': 0.3076171875} 
1485999605.627498 {'AI5': 2.3095703125, 'AI4': 4.78515625, 'AI0': 0.3271484375, 'AI2': 0.33203125} 
1485999605.675496 {'AI5': 2.314453125, 'AI4': 4.78515625, 'AI0': 0.3271484375, 'AI2': 0.3271484375} 
1485999605.723345 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3125, 'AI2': 0.2880859375} 
1485999605.771322 {'AI5': 2.32421875, 'AI4': 4.78515625, 'AI0': 0.3125, 'AI2': 0.2978515625} 
1485999605.819572 {'AI5': 2.32421875, 'AI4': 4.7802734375, 'AI0': 0.29296875, 'AI2': 0.29296875} 
1485999605.867463 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.302734375, 'AI2': 0.3125} 
1485999605.915244 {'AI5': 2.3193359375, 'AI4': 4.7900390625, 'AI0': 0.2685546875, 'AI2': 0.29296875} 
1485999605.963214 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3076171875, 'AI2': 0.302734375} 
1485999606.011304 {'AI5': 2.32421875, 'AI4': 4.7802734375, 'AI0': 0.3173828125, 'AI2': 0.322265625} 
